Chapter,Type,Word,Meaning,예문정리(영),예문정리(한),,
40,표제어,complete,"a.완전한 v.완성하다, 완료하다",a complete list,완전한 목록,,
40,연관어,completely,ad.완전히,completely different,완전히 다르다,,
40,연관어,completion,"n.완성, 완료",the completion of the project,프로젝트 완료,,
16,표제어,complex,a.복잡한,a complex problem,복잡한 문제,,
16,연관어,complexity,"n.복잡성, 어려움",the complexity of the problem,문제의 복잡성,,
16,표제어,complicate,v.복잡하게 만들다,to complicate the issue,문제를 복잡하게 만들다,,
16,연관어,complicated,a.복잡한,a complicated process,복잡한 절차,,
43,표제어,compliment,v.칭찬하다 n.칭찬,a kind compliment,칭찬의 말,,
17,표제어,comply,"v.준수하다, 따르다, 순응하다",to comply with the rules,규칙을 따르다,,
17,연관어,compliance,n.순응,compliance with regulations,규정을 준수하다,,
37,표제어,be composed of,v.~으로 구성되다,The team is composed of ten players,이 팀은 열 명의 선수로 구성되어 있다,,
46,표제어,compound,"n.합성물, 혼합물 a.합성의 v.악화시키다",a chemical compound,화학 물질,,
42,표제어,comprehend,v.이해하다,to comprehend the meaning,의미를 이해하다,,
42,연관어,comprehensible,a.이해할 수 있는,a comprehensible explanation,이해할 수 있는 설명,,
42,연관어,comprehension,n.이해,reading comprehension,읽기 이해,,
42,연관어,comprehensive,"a.종합적인, 포괄적인",a comprehensive plan,종합적인 계획,,
38,표제어,compress,"v.압축하다, 억압하다, 요약하다",to compress a file,압축하다,,
38,연관어,compression,"n.압축, 요약",data compression,데이터 압축,,
4,표제어,comprise,"v.구성하다, 차지하다",The book comprises ten chapters.,그 책은 10개 장으로 구성되다,,
4,연관어,be comprised of ~,v.~로 구성되다,The book is comprised of five chapters,그 책은 다섯 장으로 이루어져 있다,,
33,표제어,compromise,"v.타협하다, 절충하다 n.타협",to reach a compromise,타협에 이르다,,
35,표제어,compulsory,"a.강제적인, 의무적인, 필수적인",compulsory education,의무 교육,,
33,표제어,compute,v.계산하다,to compute the result,결과를 계산하다,,
33,연관어,computation,n.계산,mathematical computation,수학적 계산,,
19,표제어,conceal,"v.숨기다, 감추다",to conceal a secret,비밀을 숨기다,,
38,표제어,conceive,"v.생각해 내다, 구상하다, 고안하다 ",to conceive an idea,아이디어를 떠올리다,,
25,표제어,concentrate,v.집중하다,to concentrate on studying,공부에 집중하다,,
25,연관어,concentration,"n.농도,집중",a high concentration,높은 농도,,
30,표제어,concept,n.개념,a key concept,핵심 개념,,
30,연관어,conception,"n.개념, 생각",a false conception,잘못된 생각,,
30,연관어,conceptual,"a.개념적인, 구상의",a conceptual framework,개념적 틀,,
3,표제어,concern,"n.관심, 우려 v.관련되다, 걱정스럽게 만들다",an environmental concern,환경 문제,,
3,연관어,concerned,"a.관련이 있는, 걱정하는",concerned parents,걱정하는 부모,,
3,연관어,unconcerned,a.무관심한,unconcerned attitude,무관심한 태도,,
3,연관어,be concerned about,"v.~에 관심을 가지다, 걱정하다",She is concerned about her health,그녀는 건강 문제에 대해 걱정하고 있다,,
3,연관어,be concerned with,v.~에 관심이 있다,The job is concerned with education and training,그 직업은 교육과 훈련과 관련이 있다,,
42,표제어,concise,"a.간결한, 명료한",a concise explanation,간결한 설명,,
42,연관어,concisely,ad.간결하게,to write concisely,간결하게 쓰다,,
43,표제어,conclude,v.결론을 내리다,to conclude an argument,논쟁을 끝내다,,
43,연관어,conclusion,n.결론,a reasonable conclusion,합리적인 결론,,
8,표제어,concord,"n.화합, 일치",a state of concord,의견 일치,,
29,표제어,concrete,"a.구체적인, 사실에 의거한 n.콘크리트",a concrete plan,구체적인 계획,,
27,표제어,condense,"v.응축하다, 줄이다",to condense ideas,생각을 압축하다,,
27,연관어,condensed,a.응축된,a condensed version,요약된 버전,,
36,표제어,conducive to,"a.~에 도움이 되는, 이바지하는",an environment conducive to learning,학습에 도움이 되는 환경,,
24,표제어,conduct,"n.행동 v.수행하다, 지휘하다, 안내하다, 전도하다 ",to conduct a meeting,회의를 진행하다,,
24,연관어,conductive,a.전도성이 있는,a conductive material,전도성 물질,,
24,연관어,conductor,n.지휘자,an orchestra conductor,지휘자,,
30,표제어,conference,"n.회의, 회담",an international conference,국제 회의,,
3,표제어,confess,v.고백하다,to confess a crime,죄를 자백하다,,
43,표제어,confidence,"n.자신감, 신뢰, 확신",self-confidence,자신감,,
43,연관어,confident,"a.확신하는, 자신감 있는",a confident attitude,자신감 있는 태도,,
10,표제어,confidential,"a.기밀의, 비밀의",confidential documents,기밀 문서,,
44,표제어,confine,"v.제한하다, 한정하다, 가두다",to confine her in the house,그녀를 집 안에 가두다,,
44,연관어,confinement,"n.감금, 감금 상태 ",house confinement,가택 연금,,
13,표제어,confirm,"v.확인하다, 확정하다",to confirm the fact,사실을 확인하다,,
33,표제어,conflict,"n.갈등, 충돌, 다툼, 분쟁 v.상충하다",a conflict of opinions,의견 충돌,,
33,연관어,conflicting,a.상충하는,conflicting claims,서로 충돌하는 주장,,
36,표제어,conform,"v.순응하다, 따르다, 일치하다",to conform to the rules,규칙에 따르다,,
36,연관어,conformity,"n.순응, 일치",conformity to social norms,사회적 규범에 순응,,
14,표제어,confront,"v.직면하다, 맞서다",to confront a problem,문제를 직면하다,,
14,연관어,confrontation,"n.대치, 대립, 충돌",a confrontation between two countries,두 나라 간의 대립,,
14,연관어,be confronted with,v.직면하다,They are confronted with a serious problem,그들은 심각한 문제에 직면했다,,
32,표제어,confuse,"v.혼란스럽게 하다, 혼동하다",to confuse people,사람들을 혼란스럽게 하다,,
32,연관어,confusing,a.혼란스러운,a confusing situation,혼란스러운 상황,,
32,연관어,confusion,"n.동요, 혼란, 혼동 ",confusion of terms,용어의 혼동,,
38,표제어,congestion,"n.혼잡, 밀집",traffic congestion,교통 혼잡,,
43,표제어,congress,"n.국회, 의회, 회의, 회합",the U.S. Congress,미국 의회,,
14,표제어,connotation,n.함축,a negative connotation,부정적인 함축,,
43,표제어,conquer,"v.정복하다, 극복하다",to conquer a country,나라를 정복하다,,
43,연관어,conquest,n.정복,the Roman conquest,로마의 정복,,
9,표제어,conscience,n.양심,a guilty conscience,양심의 가책,,
6,표제어,conscious,"a.의식하는, 의도적인, 자각하는, 의식이 있는",a conscious person,의식 있는 사람,,
6,연관어,consciously,ad.의식적으로,to act consciously,의도적으로 행동하다,,
6,연관어,consciousness,"n.의식, 자각",to lose consciousness,의식을 잃다,,
6,연관어,unconsciously,ad.무의식적으로,to react unconsciously,무의식적으로 반응하다,,
15,표제어,consensus,"n.합의, 의견 일치",a general consensus,일반적 합의,,
15,연관어,consent,n.동의 v.동의하다,parental consent,부모의 동의,,
46,표제어,consequence,"n.결과, 영향, 중요성",a serious consequence,심각한 결과,,
46,연관어,consequent,a.결과적인,a consequent loss,뒤따르는 손실,,
46,연관어,consequently,ad.결과적으로,"He studied hard; consequently, he succeeded.","그는 열심히 공부했고, 따라서 성공했다",,
14,표제어,conserve,"v.보존하다, 보호하다",to conserve energy,에너지를 보존하다,,
14,연관어,conservative,a.보수적인,a conservative person,보수적인 사람,,
14,연관어,conservation,"n.보존, 보호",nature conservation,자연 보호,,
39,표제어,consider,"v.고려하다, 숙고하다",to consider the problem,문제를 고려하다,,
39,연관어,considerable,"a.상당한, 중요한",a considerable amount,상당한 양,,
39,연관어,considerably,ad.상당히,considerably different,상당히 다르다,,
39,연관어,considering,"전.~을 고려할 때, 고려하여",considering his age,그의 나이를 고려하면,,
39,연관어,considerate,"a.배려하는, 사려깊은, 신중한",a considerate student,사려 깊은 학생,,
25,표제어,consist of,"v.구성되다, 이루어지다",to consist of three parts,세 부분으로 구성되다,,
34,표제어,consistent,"a.일관성이 있는, 지속적인",a consistent attitude,일관된 태도,,
34,연관어,consistency,"n.일관성, 농도, 밀도, 한결같음",consistency of policy,정책의 일관성,,
34,연관어,consistently,"ad.지속적으로, 일관되게",to act consistently,일관되게 행동하다,,
47,표제어,consolidate,"v.강화하다, 공고히 하다",to consolidate power,권력을 강화하다,,
17,표제어,conspicuous,"a.뚜렷한, 눈에 띄는, 저명한",a conspicuous difference,눈에 띄는 차이,,
8,표제어,constant,"a.일정한, 지속적인",a constant problem,지속적인 문제,,
8,연관어,constantly,"ad.끊임없이, 지속적으로",to change constantly,끊임없이 변화하다,,
1,표제어,constitute,"v.구성하다, 설립하다",to constitute a committee,위원회를 구성하다,,
1,연관어,constitution,"n.헌법, 구성, 구조, 체질",the national constitution,국가 헌법,,
1,연관어,constitutional,"a.체제의, 헌법의",constitutional rights,헌법적 권리,,
22,표제어,constraint,"n.제약, 제한",a financial constraint,재정적 제약,,
22,연관어,constrain,"v.제한하다, 억제하다, 강요하다",to constrain freedom,자유를 제한하다,,
32,표제어,constrict,"v.압축하다, 수축시키다, 제한하다",to constrict a blood vessel,혈관을 수축하다,,
22,표제어,construction,"n.건설, 구조, 구성, 해석",the construction of a new building,새로운 건물 건설,,
22,연관어,construct,"v.건설하다, 구성하다",to construct a house,집을 건설하다,,
22,연관어,constructive,a.건설적인,constructive feedback,건설적인 피드백,,
3,표제어,consult,"v.상담하다, 참고하다",to consult a doctor,의사에게 상담하다,,
3,연관어,consultant,"n.상담가, 자문 위원, 상담가",a business consultant,경영 컨설턴트,,
3,연관어,consultation,n.상담,a medical consultation,의료 상담,,
13,표제어,consumption,"n.소비, 소모, 섭취",electricity consumption,전기 소비,,
13,연관어,consume,"v.소비하다, 섭취하다","to consume a lot of food
전기를 소비하다 to consume electricity",많은 음식을 섭취하다,,
13,연관어,consumer,n.소비자,consumer rights,소비자 권리,,
17,표제어,contact,"n.접촉, 연락 v.연락하다",to contact someone,연락하다,,
37,표제어,contagious,"a.전염성이 있는, 감염되는",a contagious disease,전염병,,
37,연관어,contagion,"n.전염, 감염",the contagion of disease,질병 전염,,
11,표제어,contain,"v.포함하다, 함유하다, 억제하다",The bottle contains two liters,이 병에는 2리터가 들어간다,,
11,연관어,container,"n.담는 곳, 그릇, 용기",a plastic container,플라스틱 용기,,
26,표제어,contaminate,"v.오염시키다, 더럽히다",to contaminate water,물 오염시키다,,
26,연관어,contaminant,n.오염물질  ,a harmful contaminant,유해 오염 물질,,
26,연관어,contamination,n.오염,serious contamination,심각한 오염,,
18,표제어,contemplate,"v.숙고하다, 응시하다, 고려하다",to contemplate a choice,선택을 곰곰이 생각하다,,
18,연관어,contemplation,n.숙고,philosophical contemplation,철학적 성찰,,
22,표제어,contemporary,"a.동시대의, 현대의",contemporary art,현대 미술,,
44,표제어,contempt,"n.경멸, 멸시",a look of contempt,경멸의 눈빛,,
45,표제어,content,"a.만족하는 n.내용, 목차",a content smile,만족한 미소,,
45,연관어,contentment,n.만족,a sense of contentment,만족감,,
45,연관어,be content with,v.만족하다,He is content with the current situation,그는 현재 상황에 만족하고 있다,,
41,표제어,context,"n.맥락, 상황",a historical context,역사적 맥락,,
7,표제어,contextual,"a.문맥상의, 상황의",contextual meaning,맥락적 의미,,
5,표제어,continent,n.대륙,the Asian continent,아시아 대륙,,
5,연관어,continental,a.대륙의,a continental climate,대륙 기후,,
22,표제어,contingent,a.~에 달려 있는 n. 대표단,Success is contingent on effort.,성공은 노력에 달려 있다,,
4,표제어,continuous,"a.계속적인, 연속적인, 끊임 없는",continuous change,지속적인 변화,,
4,연관어,continual,"a.계속되는, 반복되는",continual noise,끊임없는 소음,,
4,연관어,continually,"ad.지속적으로, 계속적으로",to repeat continually,끊임없이 반복하다,,
4,연관어,continuation,"n.지속, 연속",continuation of the project,프로젝트의 연속,,
4,연관어,continue,"v.계속하다, 계속되다",to continue working,일을 계속하다,,
15,표제어,contract,"n.계약 v.계약하다,수축하다",to sign a contract,계약을 체결하다,,
15,연관어,contraction,"n.수축, 축소",muscle contraction,근육 수축,,
17,표제어,contradiction,"n.모순, 반박",an obvious contradiction,명백한 모순,,
17,연관어,contradict,"v.반박하다, 모순되다",to contradict his statement,그의 말을 반박하다,,
17,연관어,contradictory,"a.모순된, 상반된",a contradictory statement,모순된 진술,,
13,표제어,contrary,a.반대의 ,a contrary opinion,반대 의견,,
13,연관어,on the contrary,ad.그와는 반대로,,,,
11,표제어,contrast,"n.대조, 대비 v.대조하다, 대비시키다",a contrast of colors,두 색의 대조,,
40,표제어,contribute,"v.기여하다, 공헌하다, 원인이 되다, 기부하다",to contribute to charity,자선에 기부하다,,
40,연관어,contribution,"n.기여, 공헌, 기부금",a charitable contribution,자선 기부,,
24,표제어,controversial,"a.논란의 여지가 있는, 논란거리인",a controversial issue,논란이 되는 문제,,
24,연관어,controversy,"n.논쟁, 논란",a political controversy,정치적 논쟁,,
7,표제어,convenience,"n.편리, 편의 ",modern convenience,생활 편의 시설,,
7,연관어,convenient,"a.편리한, 간편한",a convenient location,편리한 위치,,
30,표제어,conventional,"a.관습적인, 전통적인, 기존의, 전형적인",a conventional method,관습적인 방식,,
30,연관어,unconventional,"a.관습에 매이지 않은,비전통적인",unconventional approach,비전통적인 접근 방식,,
5,표제어,convergent,"a.수렴하는, 한데 모이는",a convergent trend,수렴하는 경향,,
5,연관어,convergence,"n.집중, 수렴",cultural convergence,문화적 융합,,
22,표제어,conversation,"n.대화, 대담",a conversation with a friend,친구와의 대화,,
26,표제어,convert,"v.바꾸다, 전환하다, 개조하다, 개종하다",PDF로 변환하다 to convert a file to PDF,파일을,,
26,연관어,convertible,a.전환될 수 있는,a convertible car,지붕이 열리는 자동차,,
12,표제어,convey,"v.전달하다, 운반하다",to convey a message,메시지를 전달하다,,
46,표제어,convince,"v.납득시키다, 확신시키다, 설득하다",to convince him,그를 설득하다,,
46,연관어,conviction,"n.신념, 확신",a strong conviction,강한 신념,,
2,표제어,cooperation,"n.협력, 협동, 협조",international cooperation,국제 협력,,
2,연관어,cooperate,"v.협력하다, 협조하다, 협동하다",to cooperate together,함께 협력하다,,
2,연관어,cooperative,"a.협력적인, 협동하는",a cooperative employee,협조적인 직원,,
46,표제어,coordination,"n.조정, 조화, 조율, 합동",coordination between teams,팀 간의 조정,,
46,연관어,coordinate,"v.조정하다, 조직하다, 협력하다",to coordinate activities,활동을 조정하다,,
19,표제어,cope with,"v.다루다, 대처하다 , 처리하다",to cope with stress,스트레스에 대처하다,,
3,표제어,copy,"n.복사, 복제, 복제품 v.복사하다",to copy a document,문서를 복사하다,,
16,표제어,copyright,n.저작권,copyright infringement,저작권 침해,,
40,표제어,core,"n.핵, 중심부 a.핵심의",core values,핵심 가치,,
19,표제어,corporate,"a.기업의, 법인의, 공동의",corporate culture,기업 문화,,
19,연관어,corporation,n.기업,a large corporation,대기업,,
35,표제어,correct,"a.정확한, 올바른 v.바로잡다, 정정하다",to correct a wrong answer,틀린 답을 고치다,,
35,연관어,correction,"n.보정, 수정",a spelling correction,철자 수정,,
35,연관어,correctness,"n.올바름, 정확함, 정확성",the correctness of a sentence,문장의 정확성,,
31,표제어,correlation,n.상관관계,a strong correlation,강한 상관관계,,
31,연관어,correlate,"v.연관시키다, 상관관계가 있다",to correlate two variables,두 변수를 연관시키다,,
2,표제어,correspond,"v.일치하다, 서신을 주고받다",to correspond by letter,편지로 소통하다,,
2,연관어,correspond to,"v.일치하다, 상응하다",to correspond to reality,실제와 일치하다,,
2,연관어,correspondence,"n.대응, 일치, 상관관계, 서신 ",regular correspondence,편지 왕래,,
2,연관어,corresponding,a.상응하는,the corresponding page,해당 페이지,,
2,연관어,correspondingly,ad.상응하여,Costs increased correspondingly.,비용이 비례하여 증가하다,,
37,표제어,corruption,"n.부패, 타락,변질",government corruption,정부의 부패,,
37,연관어,corrupt,"a.부패한, 타락한 v.타락시키다, 오염시키다",,,,
25,표제어,cost,"n.비용, 대가, v.(비용이) 들다, 대가를 치르다 ",a high cost,높은 비용,,
25,연관어,cost-effective,a.비용 효율적인,a cost-effective solution,비용 효율적인 해결책,,
25,연관어,costly,"a.비싼, 비용이 많이 드는",a costly jewel,값비싼 보석,,
45,표제어,council,"n.위원회, 협의회",the city council,시의회,,
16,표제어,counsel,"n.조언, 충고 v.상담하다 ",legal counsel,법률 자문,,
34,표제어,count,"v.세다, 중요하다",to count apples,사과 개수를 세다,,
36,표제어,counter,"v.대응하다, 반격하다, 반박하다 n.계산대",to counter her argument.,그녀의 주장에 반박하다,,
36,연관어,counteract,v.대응하다,The medicine counteracted the poison’s effect.,그 약은 독의 효과에 대응했다,,
36,연관어,counteraction,"n.반작용, 대응 조치",an immediate counteraction,즉각적인 대응,,
9,표제어,counterpart,"n.상대, 대응물",a business counterpart,업무 파트너,,
47,표제어,countless,"a.셀 수 없이 많은, 수많은",countless stars,수많은 별들,,
12,표제어,courageous,a.용감한,a courageous soldier,용감한 병사,,
12,연관어,courage,n.용기,to show courage,용기를 내다,,
18,표제어,courteous,"a.공손한, 예의 바른",a courteous manner,공손한 태도,,
30,표제어,uncover,"v.드러내다, 밝히다, 폭로하다",to uncover a secret,비밀을 밝혀내다,,
14,표제어,craft,"n.공예, 기술, 공예품",a handmade craft,수공예품,,
14,연관어,craftsman,"n.공예인, 장인",a skilled craftsman,능숙한 장인,,
14,연관어,craftsmanship,"n.장인정신, 기술",fine craftsmanship,정교한 솜씨,,
29,표제어,create,"v.창조하다, 만들어내다",to create a new idea,새로운 아이디어를 창출하다,,
29,연관어,creation,"n.창조, 창작, 창출, 창작물",the creation of the world,세계 창조,,
29,연관어,creature,"n.창조물, 생물, 동물",a sea creature,바다 생물,,
29,연관어,creator,"n.창조자, 제작자",the creator of the universe,우주의 창조자,,
28,표제어,creativity,"n.창의성, 창의력",infinite creativity,무한한 창의성,,
28,연관어,creative,"a.창의적인, 독창적인",a creative student,창의적인 학생,,
4,표제어,credible,a.신뢰할 만한,credible information,믿을 만한 정보,,
4,연관어,credibility,n.신뢰성,to lack credibility,신뢰성이 부족하다,,
4,표제어,credit,"a.신용, 잔고, 칭찬",a credit card,신용카드,,
16,표제어,criminal,n.범죄자 a.범죄의,a dangerous criminal,위험한 범죄자,,
16,연관어,crime,n.범죄,a serious crime,심각한 범죄,,
14,표제어,crisis,n.위기,an economic crisis,경제 위기,,
15,표제어,criterion,n.기준,a single criterion,하나의 기준,,
15,연관어,criteria,n.기준들,evaluation criteria,평가 기준,,
19,표제어,critical,"a.비판적인, 중요한, 위기의","a critical issue
비판적인 기사 a critical article",중요한 문제,,
19,연관어,critic,n.비평가,a film critic,영화 비평가,,
8,표제어,criticize,"v.비판하다, 비평하다",to criticize the government,정부를 비판하다,,
8,연관어,criticism,"n.비판, 비난",literary criticism,문학 비평,,
35,표제어,crop,"n.농작물, 작물",a grain crop,곡물 수확,,
7,표제어,crucial,"a.결정적인, 중대한, 비판적인",a crucial role,중요한 역할,,
1,표제어,cruel,a.잔인한,a cruel war,잔인한 전쟁,,
46,표제어,cue,"n.신호, 단서 v.신호를 주다",a start cue,출발 신호,,
24,표제어,cuisine,"n.요리, 요리법",French cuisine,프랑스 요리,,
24,연관어,culinary,a.요리의,culinary skills,요리 기술,,
31,표제어,cultivate,"v.키우다, 경작하다, 계발하다",to cultivate land,토지를 경작하다,,
31,연관어,cultivation,"n.경작, 양성, 함양",the cultivation of rice,벼 재배,,
26,표제어,cultural,a.문화의,cultural values,문화적 가치,,
26,연관어,culture,"n.문화, 문명",Korean culture,한국 문화,,
15,표제어,curiosity,"n.호기심, 궁금증, 진기한 물건, 골동품",a child’s curiosity,아이의 호기심,,
15,연관어,curious,a.호기심이 많은,a curious student,호기심 많은 학생,,
27,표제어,currency,"n.통화, 유행, 통용",the foreign currency market,외환 시장,,
40,표제어,current,"a.현재의, 유통되는 n.흐름, 전류, 경향",the current situation,현재의 상황,,
40,연관어,currently,"ad.현재, 지금",He is currently working.,현재 일하고 있다,,
40,표제어,custom,"n.관습, 풍습",a local custom,지역 관습,,
40,연관어,customary,a.관례적인,a customary greeting,관례적인 인사,,
34,표제어,customize,"v.주문 제작하다, 개인화하다",to customize a service,서비스를 맞춤화하다,,
36,표제어,cyclical,a.순환적인,a cyclical pattern,순환적인 패턴,,
19,표제어,cynical,a.냉소적인,a cynical attitude,냉소적인 태도,,
12,표제어,damage,"n.손상, 피해   v.손상시키다",to damage the roof,지붕을 손상시키다,,
12,연관어,damaging,"a.해로운, 피해를 주는",damaging effects on health,건강에 해로운,,
15,표제어,dash,v.돌진하다,to dash to catch the bus,버스를 잡으려고 서둘러 가다,,
48,표제어,deal with,"v.대처하다, 다루다",to deal with a problem,문제를 다루다,,
8,표제어,debate,"n.토론, 논쟁 v.토론하다, 논쟁하다",to debate the issue,그 문제에 대해 토론하다,,
34,표제어,decade,n.십 년,a decade of change,변화의 10년,,
13,표제어,decay,"v.썩다, 부패하다 n.부패, 쇠퇴",to decay over time,시간이 지나면서 부패하다,,
19,표제어,decent,"a.적당한, 괜찮은",a decent person,괜찮은 사람,,
30,표제어,deceive,"v.속이다, 기만하다",to deceive someone,누군가를 속이다,,
30,연관어,deception,"n.속임수, 기만",deception in the game,게임 속의 속임수,,
30,연관어,deceptive,a.속이는,deceptive advertisement,속이는 광고,,
19,표제어,decision,"n.결정, 판단",a tough decision,힘든 결정,,
19,연관어,decide,"v.결심하다, 결정하다",to decide quickly,빠르게 결정하다,,
19,연관어,decisive,"a.결단력 있는, 단호한, 결정적인, 중요한",a decisive moment,결정적인 순간,,
19,연관어,undecisive,a.우유부단한,undecisive decision,우유부단한 결정,,
20,표제어,declare,"v.발표하다, 선언하다 ",to declare independence,독립을 선언하다,,
7,표제어,decline,"n.감소, 하락, 쇠퇴, 거절 v.감소하다, 줄어들다, 쇠퇴하다, 거절하다","to decline in value
초대를 거절하다 to decline an invitation
경제가 쇠퇴하다 to decline economically",가치가 감소하다,,
3,표제어,decompose,"v.분해되다, 썩다, 분해하다",to decompose organic matter,유기물을 분해하다,,
29,표제어,decorate,"v.꾸미다, 장식하다",to decorate the room,방을 장식하다,,
29,연관어,decoration,"n.장식, 장식품",,,,
14,표제어,decrease,n.감소,to decrease in number,수가 감소하다,,
10,표제어,dedicate,"v.헌신하다, 바치다, 헌정하다",to dedicate time to study,공부에 시간을 바치다,,
10,연관어,dedicated,a.헌신적인,dedicated teacher,헌신적인 선생님,,
10,연관어,dedication,"n.헌신, 전념",dedication to work,일에 대한 헌신,,
7,표제어,defeat,v.패배시키다 n.패배,to defeat the opponent,상대를 패배시키다,,
31,표제어,defect,n.결함,a defect in the machine,기계에 있는 결함,,
41,표제어,defend,"v.방어하다, 변호하다, 옹호하다, 수비하다",to defend the castle,성을 방어하다,,
41,연관어,defense,"n.방어, 수비",defense against attacks,공격을 막기 위한 방어,,
41,연관어,defensive,"a.방어적인, 방어의",defensive behavior,방어적인 행동,,
7,표제어,deficient,"a.부족한, 결핍된",deficient in iron,철분이 부족한,,
7,연관어,deficiency,n.결핍,a vitamin deficiency,비타민 부족,,
7,연관어,deficit,"n.적자, 부족액",a budget deficit,예산 적자,,
17,표제어,define,"v.정의하다, 규정하다",to define a word,단어를 정의하다,,
17,연관어,definition,"n.정의, 의미",the definition of success,성공의 정의,,
17,연관어,definite,"a.정해진, 분명한",definite answer,명확한 답,,
17,연관어,definitely,"ad.분명히, 틀림없이, 명백하게",definitely correct,확실히 맞다,,
17,연관어,definitive,"a.최종적인, 결정적인",the definitive version,최종적인 버전,,
31,표제어,deforestation,n.삼림 벌채,deforestation in the Amazon,아마존의 산림 파괴,,
36,표제어,degenerate,"v.퇴보하다, 악화되다 a.타락한",to degenerate morally,도덕적으로 퇴보하다,,
20,표제어,degrade,"v.비하하다, 저하시키다",to degrade the quality,질을 저하시키다,,
20,연관어,degradation,"n.비하, 수모, 저하",environmental degradation,환경의 저하,,
48,표제어,degree,"n.(온도,각도 등) 도, 학위, 정도, 단계","an angle of ninety degrees
과학 학위 a degree in science
고도의 기술 a high degree of skill.",90도 각도,,
38,표제어,delay,"n.지연, 연기 v.미루다, 늦추다, 지연시키다",to delay the train,기차를 지연시키다,,
40,표제어,deliberate,"a.신중한, 의도적인, 계획적인",deliberate action,고의적인 행동,,
40,연관어,deliberately,"ad.의도적으로, 신중하게",to deliberately ignore,일부러 무시하다,,
40,연관어,deliberation,n.숙고,deliberation over the proposal,제안에 대한 숙고,,
15,표제어,delicate,"a.섬세한, 고운, 취약한","a delicate hand
약한 피부 delicate skin",고운 손,,
37,표제어,delight,"n.기쁨, 즐거움 v.기쁘게 하다, 즐겁게 하다",delight in the performance,공연에서 느끼는 기쁨,,
4,표제어,delude,v.착각하게 하다,to delude himself,자신을 속이다,,
4,연관어,delusion,"n.착각, 오해, 망상",the delusions of the mentally ill,정신 질환자들의 망상,,
8,표제어,demand,"n.수요, 요구 v.필요로 하다, 요구하다",to demand a refund,환불을 요구하다,,
8,연관어,demanding,"a.힘든, 부담이 큰, 요구가 많은",demanding job,힘든 일,,
48,표제어,democracy,n.민주주의,liberal democracy,자유 민주주의,,
48,연관어,democratic,a.민주적인,democratic system,민주적인 체제,,
48,연관어,democratize,"v.대중화하다, 민주화하다",to democratize education,교육을 민주화하다,,
35,표제어,demonstrate,"v.증명하다, 보여주다, 시위하다",to demonstrate a theory,이론을 증명하다,,
35,연관어,demonstration,"n.시위, 설명, 입증",a demonstration for peace,평화를 위한 시위,,
35,표제어,denial,"n.부인, 거절, 부정",denial of responsibility,책임을 부인함,,
35,연관어,deny,"v.부인하다, 거절하다",,,,
4,표제어,dense,"a.밀집한, 빽빽한",dense forest,빽빽한 숲,,
4,연관어,densely,ad.빽빽하게,densely populated city,인구가 밀집한 도시,,
4,연관어,density,n.밀도 ,population density,인구 밀도,,
45,표제어,deny,"v.부인하다, 거절하다",to deny the truth,사실을 부정하다,,
45,연관어,depart,"v.출발하다, 떠나다, 이탈하다",flight for Rome departed,로마행 비행기가 출발했다,,
36,표제어,depend,"v.의존하다, ~에 달려 있다",to depend on friends,친구들에게 의존하다,,
36,연관어,dependence,"n.의존, 의존도",dependence on technology,기술에 대한 의존,,
36,연관어,dependent,a.의존적인,dependent on their parents,부모에게 의존적인,,
36,연관어,depending on,전.~에 따라,depending on the weather,날씨에 따라,,
20,표제어,depict,"v.묘사하다, 나타내다",to depict a scene,장면을 묘사하다,,
20,연관어,depiction,"n.묘사, 서술",depiction of the scene,장면의 묘사,,
42,표제어,deposit,"v.두다, 입금하다, 예금하다 n.예금, 입금, 보증금, 축적물",to deposit in the bank,은행에 예금,,
16,표제어,depression,n.우울증,to suffer from depression,우울증을 겪다,,
16,연관어,depress,"v.우울하게 하다, 침체시키다",to depress by bad news,나쁜 소식으로 우울하게 만들다,,
41,표제어,deprive,"v.빼앗다, 박탈하다, 제거하다",to deprive of rights,권리를 빼앗다,,
41,연관어,deprivation,"n.박탈, 빼앗김",sleep deprivation,수면 박탈,,
19,표제어,derive,"v.유래하다, 파생되다, 얻다, 끌어내다",to derive from experience,경험에서 얻다,,
42,표제어,descend,"v.하강하다, 내려오다",to descend from the hill,언덕에서 내려가다,,
42,연관어,descendant,n.후손,descendant of kings,왕의 후손,,
41,표제어,describe,"v.묘사하다, 설명하다, 서술하다",to describe the situation,상황을 묘사하다,,
41,연관어,description,"n.설명, 묘사",description of the process,과정의 설명,,
41,연관어,descriptive,"a.기술적인, 설명하는, 묘사하는",descriptive text,묘사적인 글,,
47,표제어,deserve,"v.~을 받을 만하다, ~할 자격이 있다",,,,
38,표제어,designate,v.지정하다 ,to designate a team leader,팀장을 지정하다,,
38,연관어,designation,"n.지정, 명칭",designation of the role,역할의 지정,,
39,표제어,desirable,"a.바람직한, 탐나는",desirable candidate,바람직한 후보,,
48,표제어,desire,"n.욕구, 욕망 v.원하다, 갈망하다",,,,
2,표제어,despair,"n.절망, 좌절 v.좌절하다",to despair over failure,실패로 절망하다,,
39,표제어,desperate,"a.절망적인, 필사적인, 간절한",desperate situation,절망적인 상황,,
1,표제어,despise,v.경멸하다,to despise liars,거짓말쟁이를 경멸하다,,
